Line Name,Rest Value
H2 0-0S(0),28.221
H2 0-0S(1),17.035
H2 0-0S(2),12.279
H2 0-0S(3),9.664
H2 0-0S(4),8.025
H2 0-0S(5),6.909
H2 0-0S(6),6.108
H2 0-0S(7),5.511
H2 0-0S(8),5.052
H2 0-0S(9),4.694
H2 0-0S(10,4.409
H2 0-0S(11,4.181
H2 0-0S(12,3.994
H2 0-0S(13,3.846
H2 0-0S(14,3.724
H2 0-0S(15,3.625
H2 0-0S(16,3.547
H2 0-0S(17,3.485
H2 0-0S(18,3.438
H2 0-0S(19,3.404
H2 0-0S(20,3.380
H2 0-0S(21,3.369
H2 0-0S(22,3.366
H2 0-0S(23,3.372
H2 1-0S(0),2.223
H2 1-0S(1),2.121
H2 1-0S(2),2.033
H2 1-0S(3),1.957
H2 1-0S(4),1.892
H2 1-0S(5),1.835
H2 1-0S(6),1.788
H2 1-0S(7),1.748
H2 1-0S(8),1.714
H2 1-0S(9),1.687
H2 1-0S(10,1.666
H2 1-0S(11,1.650
H2 1-0Q(1),2.406
H2 1-0Q(2),2.413
H2 1-0Q(3),2.423
H2 1-0Q(4),2.437
H2 1-0Q(5),2.454
H2 1-0Q(6),2.475
H2 1-0Q(7),2.500
H2 1-0O(2),2.626
H2 1-0O(3),2.802
H2 1-0O(4),3.003
H2 1-0O(5),3.235
H2 1-0O(6),3.500
H2 1-0O(7),3.807
H2 1-0O(8),4.162
H2 2-1S(0),2.355
H2 2-1S(1),2.247
H2 2-1S(2),2.154
H2 2-1S(3),2.073
H2 2-1S(4),2.004
H2 2-1S(5),1.944
H2 2-1O(2),2.786
H2 2-1O(3),2.974
H2 2-1O(4),3.189
H2 2-1O(5),3.437
H2 2-1O(6),3.723
H2 2-1O(7),4.054
H2 3-2S(0),2.501
H2 3-2S(1),2.386
H2 3-2S(2),2.287
H2 3-2S(3),2.201
H2 3-2S(4),2.128
H2 3-2S(5),2.065
H2 3-2S(6),2.013
H2 3-2S(7),1.969
H2 3-2O(2),2.962
H2 3-2O(3),3.163
H2 3-2O(4),3.395
H2 3-2O(5),3.663
H2 3-2O(6),3.972
H2 4-3S(3),2.344
H2 4-3S(4),2.266
H2 4-3S(5),2.201
H2 5-4S(5),2.355
H2 5-4S(7),2.251
H2 2-0S(0),1.238
H2 2-0S(1),1.162
H2 2-0S(2),1.138
H2 2-0S(3),1.117
H2 2-0S(4),1.099
H2 2-0S(5),1.085
H2 2-0Q(1),1.238
H2 2-0Q(2),1.241
H2 2-0Q(3),1.247
H2 2-0Q(4),1.254
H2 2-0Q(5),1.263
H2 2-0O(2),1.293
H2 2-0O(3),1.335
H2 2-0O(4),1.381
H2 2-0O(5),1.432
